analysis_id,o6947354d8pa7wm
mouse_life_stage,Early adult
pvalue,0.6051013
parameter_id,MGP_PBI_016_001
gene_symbol,Clvs1
mouse_strain,C57BL
gene_accession_id,MGI:1921688
parameter_name,Monocyte percentage
