gene_symbol,Pld1
parameter_id,IMPC_XRY_066_001
pvalue,0.140325
parameter_name,Sacral processes
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
mouse_strain,C57BL
analysis_id,bj4j8ce60c037b5
