analysis_id,0tw29n208z43m5b
gene_symbol,Trpa1
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
pvalue,0.924681
gene_accession_id,MGI:3522699
parameter_name,Eyelid morphology
