analysis_id,48v87f9n33x075l
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
parameter_name,Heart weight
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
pvalue,0.08457755
