parameter_id,IMPC_HEM_035_001
parameter_name,Eosinophil differential count
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.1169034
mouse_life_stage,E12.5
analysis_id,7vke84t6w6ok05h
