parameter_name,HR
analysis_id,n73906hn6nejcvc
gene_accession_id,MGI:88461
pvalue,0.4701239
mouse_strain,C57BL
gene_symbol,Col6a3
parameter_id,JAXLA_ECG_002_001
mouse_life_stage,Early adult
