analysis_id,174cb0gfn453x89
mouse_strain,C57BL
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
pvalue,0.7885896
gene_symbol,Mov10
parameter_id,M-G-P_006_001_026
parameter_name,Fusion of vertebrae
