gene_symbol,Bmp7
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:103302
pvalue,0.850249
analysis_id,3n8432j29k9m9u3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Lumbar processes
