gene_symbol,Cd52
pvalue,0.3491898
analysis_id,r62n28m34z94131
gene_accession_id,MGI:1346088
parameter_name,NK cell number
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
mouse_life_stage,Early adult
