parameter_id,JAXLA_OFD_007_001
mouse_life_stage,E9.5
analysis_id,ax87xmyj2v5474t
pvalue,0.822688
gene_accession_id,MGI:1914515
parameter_name,Whole arena resting time
gene_symbol,Slc39a10
mouse_strain,C57BL
