parameter_name,Startle response
mouse_strain,C57BL
gene_symbol,Frmpd1
pvalue,0.4494128
mouse_life_stage,Early adult
analysis_id,60vu4098q5b1lje
gene_accession_id,MGI:2446274
parameter_id,HMGULA_SHI_009_001
