analysis_id,xoo1v62j72bo8ps
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,IMPC_CBC_004_001
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_symbol,Zyg11b
pvalue,0.5425632
