gene_symbol,Ift74
pvalue,0.2233351
mouse_strain,C57BL
analysis_id,07874x2y8kfc8yt
parameter_id,MGP_MLN_031_001
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
