parameter_id,JAX_SLW_014_001
gene_accession_id,MGI:2385156
pvalue,0.1130099
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
analysis_id,44iy0145zn2k542
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
