parameter_id,JAX_SLW_013_001
parameter_name,Breath rate during sleep mean
pvalue,0.8212401
analysis_id,f951cm5v9113472
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
mouse_strain,C57BL
