parameter_name,Ly6Clow monocyte number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
pvalue,0.3054932
analysis_id,9i2wb7641w3bx7q
