analysis_id,9y32z71nxgc71q8
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tatdn3
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:1916222
pvalue,0.1351478
parameter_name,Hindlimbs - size
