gene_symbol,Dmap1
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
analysis_id,p3888qc0o50s871
pvalue,0.5086256
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
mouse_strain,C57BL
