gene_symbol,Bmi1
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
analysis_id,1676a156y2e8l7o
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
parameter_name,Total T cell percentage
pvalue,0.7397938
