gene_symbol,Msantd3
analysis_id,iu74692857bx01r
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913915
pvalue,0.4268159
parameter_name,Tibia
