gene_symbol,Alkbh3
analysis_id,6dn39c096a3i3yc
parameter_name,Eye
mouse_strain,C57BL
parameter_id,IMPC_EYE_001_001
pvalue,0.9850295
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
