analysis_id,8env45fn99rf0vy
pvalue,0.2982011
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
parameter_name,Mean corpuscular hemoglobin
