parameter_name,cDCs CD11b Type
pvalue,0.3734822
analysis_id,g149ew84lf05pf2
parameter_id,IMPC_IMM_073_001
mouse_life_stage,E12.5
gene_symbol,Ahcy
mouse_strain,C57BL
gene_accession_id,MGI:87968
