analysis_id,78kb30681d97736
gene_symbol,Hrnr
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
parameter_name,Fasted blood glucose concentration
pvalue,0.8504753
mouse_strain,C57BL
gene_accession_id,MGI:3046938
