analysis_id,8z3go3e6087v5v0
gene_symbol,Orc2
pvalue,0.1681052
parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1328306
