parameter_id,M-G-P_009_001_003
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Body weight
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
analysis_id,4jjy612bo63x18j
pvalue,0.7684108
