analysis_id,r16ja6t33045o45
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_id,MGP_PBI_003_001
pvalue,0.541171
parameter_name,CD4+ alpha beta T cell percentage
gene_symbol,Eprs1
