gene_symbol,Lurap1
parameter_name,Hindlimb nail - number
pvalue,0.6840997
mouse_strain,C57BL
gene_accession_id,MGI:1915325
parameter_id,IMPC_CSD_051_002
analysis_id,4h0xsz412p5psz3
mouse_life_stage,Early adult
