gene_symbol,GPBP1L1
parameter_name,Number of rears - total
gene_accession_id,MGI:1924360
analysis_id,idd8avra06k54uu
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5633836
parameter_id,JAX_OFD_021_001
