parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
pvalue,0.3635453
gene_symbol,Cisd2
mouse_strain,C57BL
analysis_id,l1j17lhw63y262h
parameter_name,Tibia length
