analysis_id,7e61ged22c9wrr7
parameter_id,IMPC_GEP_076_001
pvalue,0.1055082
mouse_life_stage,Late adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_name,Cleft palate
mouse_strain,C57BL
