parameter_name,CV
pvalue,0.5008018
analysis_id,1v0ed882n4eeo0l
mouse_strain,C57BL
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
gene_symbol,Exd1
parameter_id,IMPC_ECG_003_001
