parameter_name,QT
parameter_id,IMPC_ECG_028_001
mouse_life_stage,Early adult
gene_symbol,Zmynd19
mouse_strain,C57BL
analysis_id,83k95wd560i7y12
gene_accession_id,MGI:1914437
pvalue,0.9964533
