gene_symbol,Sdcbp2
parameter_name,Total T cells - % of CD45+
pvalue,0.7173343
parameter_id,MGP_MLN_001_001
gene_accession_id,MGI:2385156
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,d7h5bw1802xl0ca
