parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:88461
analysis_id,94246153u01k77y
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Col6a3
pvalue,0.8431871
