analysis_id,7rw4x19jn584404
gene_symbol,Tnfsf10
pvalue,0.7871438
parameter_name,Tremor
gene_accession_id,MGI:107414
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
mouse_life_stage,Early adult
