parameter_name,Liver weight
analysis_id,d96meh0f1uoe7m8
pvalue,0.161418
mouse_strain,C57BL
gene_accession_id,MGI:1332236
gene_symbol,Cds2
mouse_life_stage,Early adult
parameter_id,UCD_OWT_008_001
