analysis_id,k8304t8zoe5hk2v
pvalue,0.6067141
gene_symbol,Tiprl
parameter_id,MGP_MLN_076_001
parameter_name,Naive CD8+ T cells - % of CD45+
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,E12.5
