gene_symbol,AU040320
parameter_id,IMPC_CBC_013_001
analysis_id,qvp12klbfye25n8
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
mouse_life_stage,Late adult
pvalue,0.9653355
gene_accession_id,MGI:2140475
