analysis_id,e705iq7e6rrqa8w
parameter_id,MGP_IMM_001_001
gene_symbol,Psmd14
mouse_life_stage,Early adult
pvalue,0.7710934
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1913284
