mouse_strain,B6J
gene_symbol,Nr0b2
parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
analysis_id,e085qh9e5035369
gene_accession_id,MGI:1346344
pvalue,0.2285877
