gene_symbol,Rab22a
analysis_id,z114c22x683m5w9
mouse_life_stage,Early adult
gene_accession_id,MGI:105072
parameter_id,MGP_MLN_076_001
pvalue,0.5615099
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_strain,C53BL
