parameter_name,Limb grasp
gene_symbol,Secisbp2l
pvalue,0.3499051
mouse_life_stage,Late adult
parameter_id,IMPC_CSD_039_001
gene_accession_id,MGI:1917604
analysis_id,9p8p39qrh8bbz45
mouse_strain,C57BL
