gene_symbol,Arnt
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
pvalue,0.7396333
analysis_id,mg1qg877877i24d
parameter_id,MGP_IMM_006_001
mouse_strain,C57BL
