analysis_id,tbr0hx4c506dr64
pvalue,0.1957811
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
gene_symbol,Mecom
parameter_name,Zygomatic bone
mouse_strain,C3H
parameter_id,IMPC_XRY_002_001
