analysis_id,22h157v7cqs5i10
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
pvalue,0.08183334
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
