analysis_id,kv6s05kdxz5t41i
parameter_name,IgD+ mature B cell percentage
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:1328306
mouse_strain,C57BL
pvalue,0.6686499
mouse_life_stage,E9.5
gene_symbol,Orc2
