gene_symbol,Rgs20
parameter_id,IMPC_IMM_065_001
analysis_id,g60z5va1d4av6dq
pvalue,0.6566631
mouse_strain,C57BL
gene_accession_id,MGI:1929866
parameter_name,B2B Cells
mouse_life_stage,Early adult
