gene_symbol,Morn5
mouse_strain,C57BL
analysis_id,mo87y7qpt2605cw
mouse_life_stage,Early adult
parameter_name,Forebrain
parameter_id,IMPC_GEL_028_001
pvalue,0.4498606
gene_accession_id,MGI:1922745
