parameter_name,PP1 startle magnitude
pvalue,0.5410775
gene_symbol,DNAJC6
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:1919935
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,2364z12f75pjm2h
