parameter_id,JAX_SLW_013_001
mouse_strain,C56BL
gene_symbol,Frmpd1
parameter_name,Breath rate during sleep mean
analysis_id,47vyp873lcf5tcu
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
pvalue,0.7163507
