analysis_id,32xi8z73re4fmr8
pvalue,0.8441792
mouse_strain,C57BL
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
parameter_name,Coat colouration
gene_accession_id,MGI:2674093
gene_symbol,Psd4
