parameter_name,Creatinine
pvalue,0.8329503
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:97838
analysis_id,277n8985sb3m11u
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Eprs1
