parameter_name,Magnesium
parameter_id,M-G-P_025_001_030
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
pvalue,0.5151505
analysis_id,59351z1360989we
mouse_strain,C57BL
