mouse_strain,129SV
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
pvalue,0.8229649
parameter_id,IMPC_OFD_012_001
gene_symbol,Zmynd8
analysis_id,p03dm8x1zx03i4q
parameter_name,Periphery permanence time
