analysis_id,5fg7slw5g272980
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
pvalue,0.7509856
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
parameter_name,HRV
gene_symbol,Frmpd1
