analysis_id,9420irz46cif8td
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
pvalue,0.1908821
gene_symbol,Car13
mouse_life_stage,Early adult
parameter_name,Time mobile light side
gene_accession_id,MGI:1931322
