parameter_name,Hemorrhage
mouse_life_stage,Late adult
pvalue,0.1026477
mouse_strain,C57BL
parameter_id,IMPC_GEO_009_002
gene_symbol,AU040320
analysis_id,1rz50399i2i1976
gene_accession_id,MGI:2140475
