parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:1924054
parameter_name,Neural tube closure
mouse_strain,C57BL
analysis_id,1dcnbd44a73q317
pvalue,0.5156603
gene_symbol,Kdm4c
mouse_life_stage,Early adult
