parameter_id,IMPC_FEA_003_001
mouse_life_stage,Early adult
parameter_name,Conditioning Baseline % Freezing Time
analysis_id,u4b1m02k15ba8g7
mouse_strain,C57BL
pvalue,0.1346807
gene_symbol,Car13
gene_accession_id,MGI:1931322
