analysis_id,9xk7uam6q25rtu0
parameter_name,center - resting time
gene_symbol,Slc30a4
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7395577
gene_accession_id,MGI:1345282
