gene_symbol,Kifap3
pvalue,0.9813678
mouse_life_stage,Early adult
parameter_id,MGP_IMM_010_001
analysis_id,wi0d56rv71ecn8d
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:107566
