gene_symbol,Sla2
mouse_strain,C57BL
pvalue,0.4508257
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
gene_accession_id,MGI:1925049
analysis_id,9y311woxap81986
