analysis_id,314lxx3920m7y34
gene_symbol,Ola1
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
parameter_name,Caudal processes
mouse_strain,C57BL
pvalue,0.8739495
